Manuscript H-ID	Manuscript Record Title	repository_key (Organisation) H-ID	Organisation Record Title	repository_key (Organisation) Record Title	idno	TEI_id	CMD	fichier_source	CMD_Vol_ar	CMD_Vol
140868	Chantilly, Bibliothèque et archives du musée Condé, 476 - 644	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	476	d1e26312	A	modified_CMDF_1enr.xml	1	I
140543	Chantilly, Bibliothèque et archives du musée Condé, 48 - 1605	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	48	d1e96316	B	modified_CMDF_1enr.xml	1	I
142149	Chantilly, Bibliothèque et archives du musée Condé, 483 - 1480	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	483	d1e132993	X	modified_CMDF_1enr.xml	1	I
138881	Chantilly, Bibliothèque et archives du musée Condé, 487 - 757	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	487	d1e98074	B	modified_CMDF_1enr.xml	1	I
138177	Chantilly, Bibliothèque et archives du musée Condé, 49 - 1669	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	49	d1e19782	A	modified_CMDF_1enr.xml	1	I
142260	Chantilly, Bibliothèque et archives du musée Condé, 490 - 465	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	490	d1e133033	X	modified_CMDF_1enr.xml	1	I
142372	Chantilly, Bibliothèque et archives du musée Condé, 503 - 639	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	503	d1e133072	X	modified_CMDF_1enr.xml	1	I
137739	Chantilly, Bibliothèque et archives du musée Condé, 506 - 897	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	506	d1e98165	B	modified_CMDF_1enr.xml	1	I
137715	Chantilly, Bibliothèque et archives du musée Condé, 507 - 1886	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	507	d1e26834	A	modified_CMDF_1enr.xml	1	I
137740	Chantilly, Bibliothèque et archives du musée Condé, 508 - 1489	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	508	d1e98254	B	modified_CMDF_1enr.xml	1	I
138716	Chantilly, Bibliothèque et archives du musée Condé, 51 - 1887	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	51	d1e19886	A	modified_CMDF_1enr.xml	1	I
140368	Chantilly, Bibliothèque et archives du musée Condé, 511 - 1471	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	511	d1e98344	B	modified_CMDF_1enr.xml	1	I
140460	Chantilly, Bibliothèque et archives du musée Condé, 512 - 1343	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	512	d1e26938	A	modified_CMDF_1enr.xml	1	I
138052	Chantilly, Bibliothèque et archives du musée Condé, 513 - 1570	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	513	d1e27053	A	modified_CMDF_1enr.xml	1	I
140643	Chantilly, Bibliothèque et archives du musée Condé, 514-517 - 444-447	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	514-517	d1e98436	B	modified_CMDF_1enr.xml	1	I
140558	Chantilly, Bibliothèque et archives du musée Condé, 518 - 737	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	518	d1e27156	A	modified_CMDF_1enr.xml	1	I
133597	Chantilly, Bibliothèque et archives du musée Condé, 52 - 1434	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	52	d1e20004	A	modified_CMDF_1enr.xml	1	I
140456	Chantilly, Bibliothèque et archives du musée Condé, 521 - 1690	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	521	d1e98525	B	modified_CMDF_1enr.xml	1	I
140572	Chantilly, Bibliothèque et archives du musée Condé, 522 - 1878	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	522	d1e98614	B	modified_CMDF_1enr.xml	1	I
138104	Chantilly, Bibliothèque et archives du musée Condé, 525 - 991	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	525	d1e27247	A	modified_CMDF_1enr.xml	1	I
142441	Chantilly, Bibliothèque et archives du musée Condé, 526 - 983	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	526	d1e133111	X	modified_CMDF_1enr.xml	1	I
140560	Chantilly, Bibliothèque et archives du musée Condé, 527 - 984	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	527	d1e27336	A	modified_CMDF_1enr.xml	1	I
138128	Chantilly, Bibliothèque et archives du musée Condé, 528 - 973	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	528	d1e27435	A	modified_CMDF_1enr.xml	1	I
134118	Chantilly, Bibliothèque et archives du musée Condé, 53 - 1342	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	53	d1e20108	A	modified_CMDF_1enr.xml	1	I
138080	Chantilly, Bibliothèque et archives du musée Condé, 530 - 1413	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	530	d1e27535	A	modified_CMDF_1enr.xml	1	I
138148	Chantilly, Bibliothèque et archives du musée Condé, 531 - 1472	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	531	d1e98704	B	modified_CMDF_1enr.xml	1	I
140640	Chantilly, Bibliothèque et archives du musée Condé, 532 - 1579	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	532	d1e98790	B	modified_CMDF_1enr.xml	1	I
138192	Chantilly, Bibliothèque et archives du musée Condé, 533 - 1650	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	533	d1e27628	A	modified_CMDF_1enr.xml	1	I
137848	Chantilly, Bibliothèque et archives du musée Condé, 55-61 - 805-811	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	55-61	d1e96402	B	modified_CMDF_1enr.xml	1	I
136412	Chantilly, Bibliothèque et archives du musée Condé, 599 - 1426	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	599	d1e27730	A	modified_CMDF_1enr.xml	1	I
133600	Chantilly, Bibliothèque et archives du musée Condé, 600 - 1322	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	600	d1e27858	A	modified_CMDF_1enr.xml	1	I
137572	Chantilly, Bibliothèque et archives du musée Condé, 601 - 905	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	601	d1e27956	A	modified_CMDF_1enr.xml	1	I
142452	Chantilly, Bibliothèque et archives du musée Condé, 602 - 1565	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	602	d1e133150	X	modified_CMDF_1enr.xml	1	I
137862	Chantilly, Bibliothèque et archives du musée Condé, 604 - 1339	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	604	d1e28056	A	modified_CMDF_1enr.xml	1	I
